15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.fpsTarget: 60
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.pluginUpdateMessage: 1
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.modelCacheSizeMiB: 2048
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.hdplugin: true
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hidePets: false
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value stretchedmode.increasedPerformance: false
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.contrast: DEFAULT
15:08:28.350 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanChatInfoHighlight: -65536
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideLocalPlayer: false
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideNPCs2D: false
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.macosIntelWorkaround: false
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.textureResolution: RES_256
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value fpscontrol.drawFps: true
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueGameMessageHighlight: -1109984
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.antiAliasingMode: DISABLED
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.colorBlindnessIntensity: 100
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value fpscontrol.limitFps: false
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.automaticResizeType: KEEP_GAME_SIZE
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.tzhaarHD: true
15:08:28.351 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.winterTheme0: false
15:08:28.352 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.hideBakedEffects: true
15:08:28.352 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.loadingClearCache: false
15:08:28.352 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.fogDepthMode: DYNAMIC
15:08:28.352 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.infoBoxSize: 35
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentClanMessageHighlight: -1
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.panelToggleKey: 123:128
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.antiAliasingMode: DISABLED
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value entityhider.hideFriends: false
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.warningOnExit: LOGGED_IN
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value fpscontrol.maxFpsUnfocused: 50
15:08:28.354 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueExamineHighlight: -16776961
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value minimap.hdminimap: false
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.brightness2: 20
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.drawDistance: 25
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.reduceOverExposure: false
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.uiScalingMode: LINEAR
15:08:28.355 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentClanChatMessageHighlight: -1
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.menuEntryShift: true
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.opaqueClanGuestInfoHighlight: -65536
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.interfaceFontType: REGULAR
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value gpu.anisotropicFilteringLevel: 0
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value rsprofile.loginSalt: VFwAvOFbAj2MhrjBFbHJ
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.usernameInTitle: true
15:08:28.356 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentClanChatInfoHighlight: -65536
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.gameSize: 765x503
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.flashNotification: DISABLED
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value textrecolor.transparentClanGuestInfoHighlight: -65536
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.shadowDistance: DISTANCE_30
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.sidebarToggleKey: 122:128
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.shadowResolution: RES_1024
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value runelite.notificationSound: NATIVE
15:08:28.357 [main] DEBUG net.runelite.client.config.ConfigManager - Loading configuration value hd.saturation: DEFAULT
15:08:28.357 [main] INFO net.runelite.client.account.SessionManager - No session file exists
15:08:28.589 [Client] INFO org.reflections.Reflections - Reflections took 220 ms to scan 1 urls, producing 2 keys and 6 values
15:08:28.593 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin MinimapPlugin
15:08:28.605 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin FpsPlugin
15:08:28.607 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin HdMinimapPlugin
15:08:28.616 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin EntityHiderPlugin
15:08:28.643 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin ConfigPlugin
15:08:28.660 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin GpuPlugin
15:08:28.666 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin StretchedModePlugin
Loaded 4 client scripts.
15:08:28.747 [main] DEBUG net.runelite.client.plugins.PluginManager - Loaded plugin HdPlugin
15:08:28.760 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.ClientShutdown - EventBus.Subscriber(object=net.runelite.client.ClientSessionManager@2e77b8cf, method=private void net.runelite.client.ClientSessionManager.onClientShutdown(net.runelite.client.events.ClientShutdown), priority=0.0, lambda=net.runelite.client.ClientSessionManager$$Lambda$396/0x0000000800f05658@2c4ca0f9)
15:08:28.848 [pool-1-thread-1] DEBUG net.runelite.client.ClientSessionManager - Opened session 07f07e4c-8ae7-4f52-a58f-867322789e04
15:08:29.143 [AWT-EventQueue-0] DEBUG net.runelite.client.input.KeyManager - Registering key listener: net.runelite.client.ui.ClientUI$2@7ae72e4c
15:08:29.144 [AWT-EventQueue-0] DEBUG net.runelite.client.input.KeyManager - Registering key listener: net.runelite.client.ui.ClientUI$3@41291714
15:08:29.279 [main] INFO net.runelite.client.discord.DiscordService - Initializing Discord RPC service.
15:08:29.344 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.ConfigChanged - EventBus.Subscriber(object=net.runelite.client.ui.ClientUI@51f49060, method=public void net.runelite.client.ui.ClientUI.onConfigChanged(net.runelite.client.events.ConfigChanged), priority=0.0, lambda=net.runelite.client.ui.ClientUI$$Lambda$472/0x0000000800f9e840@514eedd8)
15:08:29.344 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.api.events.GameStateChanged - EventBus.Subscriber(object=net.runelite.client.ui.ClientUI@51f49060, method=public void net.runelite.client.ui.ClientUI.onGameStateChanged(net.runelite.api.events.GameStateChanged), priority=0.0, lambda=net.runelite.client.ui.ClientUI$$Lambda$473/0x0000000800f9ea70@6970140a)
15:08:29.345 [main] DEBUG net.runelite.client.eventbus.EventBus - Registering class net.runelite.client.events.NavigationButtonAdded - EventBus.Subscriber(object=net.runelite.client.ui.ClientUI@51f49060, method=public void net.runelite.client.ui.ClientUI.onNavigationButtonAdded(net.runelite.client.events.NavigationButtonAdded), priority=0.0, lambda=net.runelite.client.ui.ClientUI$$Lambda$474/0x0000000800f9eca0@245a26e1)
